"country","journal","discipline","position","n.authors","n.papers","genderRatios","low.CI.1","up.CI.1","current.rate.of.change","low.CI.2","up.CI.2","years.to.parity","low.CI.3","up.CI.3","r","c","qualitative.result"
"China","All journals","Anti-Infective Agents","overall",1643,1053,50,29.324,50,0,-8.953,0.198,6,NA,NA,2.049,98.664,"Essentially at parity"
"Denmark","All journals","Anti-Infective Agents","overall",1089,241,42.919,38.316,46.562,0.714,0.438,0.906,3.365,0,19.365,0.247,2.56,"Male-biased but improving"
"France","All journals","Anti-Infective Agents","overall",9508,1884,42.664,40.089,45.002,-0.054,-0.475,0.204,NA,NA,NA,-0.015,0.302,"Male-biased and becoming more so"
"Germany","All journals","Anti-Infective Agents","overall",5132,1006,37.127,34.589,39.544,0.659,0.422,0.843,17.365,9.365,34.365,0.138,2.178,"Male-biased but improving"
"Greece","All journals","Anti-Infective Agents","overall",1130,244,46.258,41.109,49.021,0.358,0.021,0.544,12,NA,NA,0.232,1.127,"Essentially at parity"
"India","All journals","Anti-Infective Agents","overall",1419,407,34.827,30.366,39.297,-0.363,-1.292,0.332,NA,NA,NA,-0.067,0.491,"Male-biased and becoming more so"
"Israel","All journals","Anti-Infective Agents","overall",750,157,34.169,25.214,42.663,-0.804,-2.644,0.31,NA,NA,NA,-0.148,0.269,"Male-biased and becoming more so"
"Italy","All journals","Anti-Infective Agents","overall",6775,1044,49.995,40.814,50,0.001,-4.226,0.081,3,NA,NA,1.02,0.864,"Essentially at parity"
"Japan","All journals","Anti-Infective Agents","overall",7278,1517,24.336,21.899,26.836,0.265,0.024,0.542,NA,NA,NA,0.044,3.019,"Male-biased but improving"
"Netherlands","All journals","Anti-Infective Agents","overall",2612,545,37.992,34.567,41.177,0.539,0.193,0.776,30,NA,NA,0.12,1.708,"Male-biased but improving"
"Portugal","All journals","Anti-Infective Agents","overall",906,193,65.313,58.276,73.827,0.832,-0.261,4.093,NA,NA,NA,-0.088,-0.226,"Female-biased and becoming more so"
"South Korea","All journals","Anti-Infective Agents","overall",1068,423,37.666,29.405,44.572,-0.615,-2.303,0.254,NA,NA,NA,-0.131,0.213,"Male-biased and becoming more so"
"Spain","All journals","Anti-Infective Agents","overall",7126,1126,47.732,45.786,49.216,0.204,0.074,0.27,8,NA,NA,0.206,0.515,"Essentially at parity"
"Sweden","All journals","Anti-Infective Agents","overall",1114,285,37.709,31.819,42.451,-0.112,-0.973,0.396,NA,NA,NA,-0.022,0.538,"Male-biased and becoming more so"
"Switzerland","All journals","Anti-Infective Agents","overall",2370,445,38.86,35.88,41.592,0.92,0.616,1.124,9.365,4.365,21.365,0.213,3.378,"Male-biased but improving"
"Thailand","All journals","Anti-Infective Agents","overall",730,174,40.506,33.715,45.941,0.59,-0.343,0.928,NA,NA,NA,0.15,1.657,"Male-biased but improving"
"United Kingdom","All journals","Anti-Infective Agents","overall",5578,1185,40.186,38.031,42.261,0.483,0.259,0.643,13.365,5.365,35.39,0.123,1.349,"Male-biased but improving"
"USA","All journals","Anti-Infective Agents","overall",33594,8359,38.235,37.205,39.172,0.284,0.175,0.38,32.365,21.365,60.365,0.062,1.038,"Male-biased but improving"
"Canada","All journals","Antineoplastic Agents","overall",806,136,33.878,18.978,44.227,-1.576,-10.529,0.136,NA,NA,NA,-0.299,0.075,"Male-biased and becoming more so"
"China","All journals","Antineoplastic Agents","overall",723,353,49.961,48.374,53.293,0.022,-0.047,0.284,0,NA,NA,0.64,1.111,"Essentially at parity"
"France","All journals","Antineoplastic Agents","overall",1599,248,35.748,31.794,39.454,0.179,-0.527,0.633,NA,NA,NA,0.032,1.039,"Male-biased but improving"
"Germany","All journals","Antineoplastic Agents","overall",1389,241,32.375,27.341,37.283,0.434,-0.116,0.879,NA,NA,NA,0.076,2.059,"Male-biased but improving"
"Italy","All journals","Antineoplastic Agents","overall",1612,232,48.586,43.669,50,0.104,-0.531,0.233,0,NA,NA,0.196,0.307,"Essentially at parity"
"Japan","All journals","Antineoplastic Agents","overall",929,153,20.613,15.807,25.437,0.791,0.161,1.519,43,NA,NA,0.13,8.424,"Male-biased but improving"
"USA","All journals","Antineoplastic Agents","overall",6020,1171,37.313,35.327,39.439,0.347,0.119,0.54,40,NA,NA,0.073,1.251,"Male-biased but improving"
"Australia","All journals","Audiology","overall",1444,433,49.992,49.556,56.639,0.005,0,1.357,4,NA,NA,0.756,0.551,"Essentially at parity"
"Canada","All journals","Audiology","overall",972,345,49.974,28.579,50,0.004,-9.941,0.33,6,NA,NA,1.143,7.298,"Essentially at parity"
"Germany","All journals","Audiology","overall",1253,341,30.291,25.564,35.246,0.416,-0.2,0.946,NA,NA,NA,0.07,2.318,"Male-biased but improving"
"Sweden","All journals","Audiology","overall",713,230,41.283,35.673,46.716,0.741,0.287,1.001,22,NA,NA,0.223,2.621,"Male-biased but improving"
"United Kingdom","All journals","Audiology","overall",1129,407,48.673,45.33,49.852,0.336,0.067,0.584,0,0,0.365,0.507,3.941,"Essentially at parity"
"USA","All journals","Audiology","overall",9533,3448,49.748,49.132,49.956,0.073,0.019,0.163,0,0,0,0.579,1.286,"Essentially at parity"
"Australia","All journals","Behavioral Sciences","overall",1131,449,50,44.596,50,0,-0.139,0.196,0,NA,NA,6.227,-702.998,"Essentially at parity"
"Canada","All journals","Behavioral Sciences","overall",1975,826,50,44.023,50.001,0,-0.481,0.143,0,NA,NA,4.331,-51.148,"Essentially at parity"
"Germany","All journals","Behavioral Sciences","overall",929,339,33.658,26.046,40.541,-0.12,-1.415,0.704,NA,NA,NA,-0.019,0.829,"Male-biased and becoming more so"
"Italy","All journals","Behavioral Sciences","overall",686,222,43.441,33.135,49.777,0.145,-2.293,0.516,NA,NA,NA,0.06,0.491,"Male-biased but improving"
"Netherlands","All journals","Behavioral Sciences","overall",625,260,42.557,26.379,48.84,0.313,-5.729,0.722,NA,NA,NA,0.103,0.817,"Male-biased but improving"
"Spain","All journals","Behavioral Sciences","overall",580,197,39.136,29.635,46.017,-0.289,-2.332,0.467,NA,NA,NA,-0.064,0.318,"Male-biased and becoming more so"
"United Kingdom","All journals","Behavioral Sciences","overall",1745,694,50.067,50,54.684,-0.017,-0.145,0.406,4,NA,NA,0.596,-0.52,"Essentially at parity"
"USA","All journals","Behavioral Sciences","overall",20207,8096,49.918,49.713,50,0.02,0,0.048,0,NA,NA,0.478,0.19,"Essentially at parity"
"Argentina","All journals","Biochemistry","overall",4230,1033,49.573,45.269,50,0.029,-0.481,0.144,0,NA,NA,0.289,0.258,"Essentially at parity"
"Australia","All journals","Biochemistry","overall",23487,5652,35.799,34.504,37.05,0.132,-0.021,0.277,NA,NA,NA,0.027,0.992,"Male-biased but improving"
"Austria","All journals","Biochemistry","overall",10639,2181,34.13,32.306,35.928,0.295,0.081,0.474,57,NA,NA,0.053,1.453,"Male-biased but improving"
"Belgium","All journals","Biochemistry","overall",9368,1895,38.646,36.856,40.194,0.408,0.245,0.551,21.365,12.365,46.365,0.093,1.278,"Male-biased but improving"
"Brazil","All journals","Biochemistry","overall",14511,2793,49.443,48.668,49.82,0.117,0.055,0.177,0,0,0,0.429,0.78,"Essentially at parity"
"Canada","All journals","Biochemistry","overall",43990,12495,33.495,32.589,34.381,0.05,-0.055,0.154,NA,NA,NA,0.009,1.063,"Male-biased but improving"
"Chile","All journals","Biochemistry","overall",2979,613,38.493,35.304,41.315,0.503,0.202,0.711,35,NA,NA,0.115,1.565,"Male-biased but improving"
"China","All journals","Biochemistry","overall",36938,25238,46.161,45.215,46.892,0.233,0.123,0.297,13,NA,NA,0.131,0.498,"Essentially at parity"
"Croatia","All journals","Biochemistry","overall",938,199,53.279,50,58.045,-0.252,-0.402,0.057,11,NA,NA,0.155,-0.476,"Essentially at parity"
"Czech Republic","All journals","Biochemistry","overall",5986,1147,39.111,37.097,41.314,0.622,0.425,0.775,13.365,6.365,25.365,0.145,1.864,"Male-biased but improving"
"Denmark","All journals","Biochemistry","overall",12143,2762,33.262,31.629,34.908,0.267,0.084,0.435,63.365,34.365,224.44,0.049,1.509,"Male-biased but improving"
"Egypt","All journals","Biochemistry","overall",1324,500,46.083,33.109,50,0.091,-6.952,0.346,NA,NA,NA,0.098,0.373,"Essentially at parity"
"Finland","All journals","Biochemistry","overall",7651,1644,39.982,37.611,42.19,0.148,-0.155,0.341,NA,NA,NA,0.035,0.673,"Male-biased but improving"
"France","All journals","Biochemistry","overall",62569,13407,40.109,39.267,40.936,0.007,-0.092,0.095,NA,NA,NA,0.002,0.501,"Male-biased but improving"
"Germany","All journals","Biochemistry","overall",76761,17262,34.572,33.871,35.277,0.488,0.417,0.551,31.365,25.365,38.365,0.092,1.911,"Male-biased but improving"
"Greece","All journals","Biochemistry","overall",2547,579,37.711,33.468,41.474,0.214,-0.318,0.541,NA,NA,NA,0.043,0.942,"Male-biased but improving"
"Hong Kong","All journals","Biochemistry","overall",956,460,42.135,36.811,46.11,0.473,-0.062,0.699,19,NA,NA,0.15,1.289,"Male-biased but improving"
"Hungary","All journals","Biochemistry","overall",3271,666,43.301,39.965,46.239,0.345,0.041,0.478,18,NA,NA,0.118,0.832,"Male-biased but improving"
"India","All journals","Biochemistry","overall",18061,7783,29.042,27.922,30.26,-0.203,-0.399,-0.023,NA,NA,NA,-0.033,1.098,"Male-biased and becoming more so"
"Indonesia","All journals","Biochemistry","overall",1062,222,49.136,44.249,50,0.169,0,0.37,8,NA,NA,0.433,1.36,"Essentially at parity"
"Iran","All journals","Biochemistry","overall",2827,994,33.159,29.99,36.34,0.839,0.329,1.219,32,NA,NA,0.15,3.51,"Male-biased but improving"
"Ireland","All journals","Biochemistry","overall",4407,1084,36.156,33.319,38.938,0.064,-0.352,0.388,NA,NA,NA,0.012,0.842,"Male-biased but improving"
"Israel","All journals","Biochemistry","overall",8684,2385,42.491,39.264,45.366,-0.084,-0.575,0.193,NA,NA,NA,-0.025,0.287,"Male-biased and becoming more so"
"Italy","All journals","Biochemistry","overall",42180,7407,47.989,47.253,48.674,0.16,0.123,0.183,0,0,0,0.171,0.344,"Essentially at parity"
"Japan","All journals","Biochemistry","overall",79136,20835,21.935,21.256,22.674,0.131,0.055,0.212,229.365,139.365,561.715,0.022,3.056,"Male-biased but improving"
"Malaysia","All journals","Biochemistry","overall",935,368,29.727,25.173,34.666,-0.219,-1.316,0.657,NA,NA,NA,-0.038,0.985,"Male-biased and becoming more so"
"Mexico","All journals","Biochemistry","overall",3025,643,41.176,37.388,44.407,0.344,-0.109,0.577,27,NA,NA,0.097,0.948,"Male-biased but improving"
"Netherlands","All journals","Biochemistry","overall",17519,3797,29.286,27.739,30.815,0.339,0.175,0.491,77,NA,NA,0.056,2.256,"Male-biased but improving"
"New Zealand","All journals","Biochemistry","overall",3115,817,39.342,36.159,42.184,0.394,0.018,0.647,27,NA,NA,0.094,1.189,"Male-biased but improving"
"Norway","All journals","Biochemistry","overall",5069,1171,37.056,34.275,39.668,0.175,-0.167,0.428,NA,NA,NA,0.035,0.938,"Male-biased but improving"
"Pakistan","All journals","Biochemistry","overall",1021,235,37.482,32.334,42.161,-0.211,-1.504,0.516,NA,NA,NA,-0.046,0.45,"Male-biased and becoming more so"
"Poland","All journals","Biochemistry","overall",12357,3326,49.989,49.937,50,0.005,0,0.022,4,NA,NA,0.94,1.09,"Essentially at parity"
"Portugal","All journals","Biochemistry","overall",7651,1654,49.947,49.742,49.998,0.02,0.001,0.065,0,0,0,0.742,1.064,"Essentially at parity"
"Russia","All journals","Biochemistry","overall",7358,1679,40.303,38.322,42.178,0.315,0.117,0.47,19.365,8.365,69.415,0.08,0.941,"Male-biased but improving"
"Serbia","All journals","Biochemistry","overall",1545,322,58.253,55.708,61.079,-0.509,-0.65,-0.319,8.365,2.365,25.365,0.109,-0.697,"Female-biased but improving"
"Singapore","All journals","Biochemistry","overall",4784,1933,33.675,31.086,36.071,0.254,-0.126,0.554,NA,NA,NA,0.046,1.412,"Male-biased but improving"
"Slovakia","All journals","Biochemistry","overall",1375,329,45.138,40.576,48.825,0.633,0.297,0.81,16,NA,NA,0.311,2.796,"Essentially at parity"
"Slovenia","All journals","Biochemistry","overall",1145,283,48.7,31.302,49.986,0.121,-8.952,0.329,7,NA,NA,0.32,0.748,"Essentially at parity"
"South Africa","All journals","Biochemistry","overall",1021,314,36.623,30.538,41.915,-0.107,-1.401,0.52,NA,NA,NA,-0.018,0.617,"Male-biased and becoming more so"
"South Korea","All journals","Biochemistry","overall",11887,6386,39.92,37.964,41.809,0.022,-0.294,0.239,NA,NA,NA,0.005,0.526,"Male-biased but improving"
"Spain","All journals","Biochemistry","overall",24188,5031,44.406,43.29,45.43,0.296,0.21,0.359,2.365,0,9.365,0.12,0.683,"Male-biased but improving"
"Sweden","All journals","Biochemistry","overall",16860,4043,36.867,35.178,38.412,0.233,0.068,0.382,56,NA,NA,0.048,1.063,"Male-biased but improving"
"Switzerland","All journals","Biochemistry","overall",13642,3248,32.857,31.26,34.377,0.191,-0.001,0.355,NA,NA,NA,0.034,1.382,"Male-biased but improving"
"Taiwan","All journals","Biochemistry","overall",672,1413,36.012,28.929,42.13,0.532,-0.343,0.987,NA,NA,NA,0.101,1.839,"Male-biased but improving"
"Thailand","All journals","Biochemistry","overall",1295,644,45.716,40.042,49.365,0.581,0.158,0.789,16,NA,NA,0.321,2.776,"Essentially at parity"
"Tunisia","All journals","Biochemistry","overall",626,116,38.782,28.603,46.795,-0.542,-3.737,0.464,NA,NA,NA,-0.135,0.188,"Male-biased and becoming more so"
"Turkey","All journals","Biochemistry","overall",5350,1454,35.412,32.665,38.037,-0.342,-0.744,0.02,NA,NA,NA,-0.065,0.477,"Male-biased and becoming more so"
"Ukraine","All journals","Biochemistry","overall",614,156,31.9,25.523,38.022,0.098,-0.717,0.722,NA,NA,NA,0.02,1.317,"Male-biased but improving"
"United Kingdom","All journals","Biochemistry","overall",39340,10267,33.549,32.635,34.482,0.436,0.344,0.527,38.365,29.365,51.365,0.079,1.891,"Male-biased but improving"
"Uruguay","All journals","Biochemistry","overall",1000,152,42.013,24.869,49.812,0.193,-8.04,0.564,NA,NA,NA,0.076,0.686,"Male-biased but improving"
"USA","All journals","Biochemistry","overall",360582,108054,34.399,34.08,34.736,0.283,0.249,0.316,53.365,46.365,62.365,0.053,1.407,"Male-biased but improving"
"Australia","All journals","Bioinformatics","overall",1219,419,26.967,21.272,32.717,1.05,0.264,1.737,38,NA,NA,0.165,6.769,"Male-biased but improving"
"Canada","All journals","Bioinformatics","overall",2163,760,20.204,16.29,24.103,-0.288,-0.755,0.236,NA,NA,NA,-0.05,1.96,"Male-biased and becoming more so"
"China","All journals","Bioinformatics","overall",1239,914,34.685,28.13,40.252,-0.395,-1.633,0.426,NA,NA,NA,-0.077,0.471,"Male-biased and becoming more so"
"Finland","All journals","Bioinformatics","overall",616,175,17.52,10.959,25.444,0.155,-0.57,1.19,NA,NA,NA,0.029,4.716,"Male-biased but improving"
"France","All journals","Bioinformatics","overall",2345,722,27.924,24.146,31.801,0.446,-0.076,0.892,NA,NA,NA,0.072,2.853,"Male-biased but improving"
"Germany","All journals","Bioinformatics","overall",4930,1444,21.653,19.013,24.431,0.602,0.227,0.992,50.365,29.365,140.465,0.098,5.929,"Male-biased but improving"
"India","All journals","Bioinformatics","overall",1538,748,32.029,27.364,36.457,0.557,-0.195,1.172,NA,NA,NA,0.093,2.458,"Male-biased but improving"
"Israel","All journals","Bioinformatics","overall",613,203,29.127,20.067,37.544,-0.46,-1.435,0.412,NA,NA,NA,-0.076,0.766,"Male-biased and becoming more so"
"Italy","All journals","Bioinformatics","overall",2028,539,27.27,22.138,31.66,0.006,-0.661,0.593,NA,NA,NA,0.001,1.675,"Male-biased but improving"
"Japan","All journals","Bioinformatics","overall",1081,391,18.983,13.332,24.912,0.552,-0.146,1.345,NA,NA,NA,0.092,7.026,"Male-biased but improving"
"Netherlands","All journals","Bioinformatics","overall",1009,269,20.735,14.871,26.794,0.724,-0.124,1.6,NA,NA,NA,0.117,7.495,"Male-biased but improving"
"Singapore","All journals","Bioinformatics","overall",656,320,15.078,9.223,21.896,-0.78,-1.245,0.014,NA,NA,NA,-0.145,1.373,"Male-biased and becoming more so"
"Spain","All journals","Bioinformatics","overall",1342,381,20.796,15.978,25.531,0.342,-0.289,1.051,NA,NA,NA,0.055,4.493,"Male-biased but improving"
"Sweden","All journals","Bioinformatics","overall",800,253,16.279,10.424,22.836,0.465,-0.219,1.424,NA,NA,NA,0.084,8.331,"Male-biased but improving"
"Switzerland","All journals","Bioinformatics","overall",788,247,25.288,19.045,31.89,1.106,0.198,1.951,37,NA,NA,0.18,8.74,"Male-biased but improving"
"United Kingdom","All journals","Bioinformatics","overall",2379,800,24.249,20.402,28.295,0.373,-0.164,0.886,NA,NA,NA,0.062,3.526,"Male-biased but improving"
"USA","All journals","Bioinformatics","overall",19703,7662,26.669,25.185,28.006,0.564,0.389,0.742,46.365,33.365,70.365,0.091,3.746,"Male-biased but improving"
"Argentina","All journals","Biology","overall",2207,555,50,33.398,50.068,0,-6.806,0,NA,NA,NA,8.532,-5127.772,"Essentially at parity"
"Australia","All journals","Biology","overall",11568,3756,31.123,29.467,32.68,-0.274,-0.535,-0.036,NA,NA,NA,-0.046,0.826,"Male-biased and becoming more so"
"Austria","All journals","Biology","overall",4400,1123,33.674,31.212,36.014,0.385,0.048,0.665,45,NA,NA,0.069,1.731,"Male-biased but improving"
"Belgium","All journals","Biology","overall",4301,957,35.772,33.5,38.149,0.507,0.218,0.757,35,NA,NA,0.101,1.843,"Male-biased but improving"
"Brazil","All journals","Biology","overall",8389,1865,43.309,40.185,45.644,0.015,-0.84,0.304,NA,NA,NA,0.001,0.312,"Male-biased but improving"
"Canada","All journals","Biology","overall",19708,6616,33.166,31.934,34.359,0.132,-0.051,0.295,NA,NA,NA,0.023,1.231,"Male-biased but improving"
"Chile","All journals","Biology","overall",2950,677,34.153,30.967,37.376,0.136,-0.294,0.499,NA,NA,NA,0.027,1.145,"Male-biased but improving"
"China","All journals","Biology","overall",11106,8542,43.051,40.874,45.106,0.064,-0.358,0.311,NA,NA,NA,0.024,0.391,"Male-biased but improving"
"Croatia","All journals","Biology","overall",504,125,50.001,18.736,51.903,-0.006,-13.598,0.05,NA,NA,NA,1.132,-2.049,"Essentially at parity"
"Czech Republic","All journals","Biology","overall",2291,566,36.157,32.611,39.539,0.559,0.098,0.891,35,NA,NA,0.11,1.916,"Male-biased but improving"
"Denmark","All journals","Biology","overall",4370,1117,33.935,31.684,36.06,0.673,0.408,0.927,24.365,14.365,46.365,0.123,2.647,"Male-biased but improving"
"Egypt","All journals","Biology","overall",900,364,37.092,17.963,46.533,-0.432,-9.555,0.568,NA,NA,NA,-0.109,0.269,"Male-biased and becoming more so"
"Finland","All journals","Biology","overall",3743,950,34.953,32.01,37.596,-0.424,-0.993,0.033,NA,NA,NA,-0.081,0.442,"Male-biased and becoming more so"
"France","All journals","Biology","overall",25315,7303,35.309,34.015,36.489,-0.34,-0.554,-0.145,NA,NA,NA,-0.064,0.486,"Male-biased and becoming more so"
